Pal_ID	Ide_ID	Ssu_ID	Ptr_ID	Pag_ID	Peu_ID	Pde_ID
Palv2-05975	Ide2-18393	EVM0002749	Potri.002G014300	PAxG02Gg0010500	Peu2-14684	Pde02A001380
Palv2-05976	-	EVM0028463	-	PAxG02Gg0010600	Peu2-14685	Pde02A001390
Palv2-05977	Ide2-18394	EVM0001597	Potri.002G014500	PAxG02Gg0010700	Peu2-14686	Pde02A001400
Palv2-05978	-	-	-	-	-	-
Palv2-05979	-	EVM0029862	-	PAxG02Gg0010800	-	Pde02A001410
Palv2-05980	Ide2-18395	EVM0037829	Potri.002G014700	PAxG02Gg0010900	Peu2-14687	Pde02A001420
Palv2-05981	-	EVM0011871	Potri.002G014800	PAxG02Gg0011000	Peu2-14688	Pde02A001440
Palv2-05982	Ide2-18397	EVM0007045	Potri.002G014900	PAxG02Gg0011100	Peu2-14689	Pde02A001450
Palv2-05983	Ide2-18398	EVM0019777	Potri.002G015002	PAxG02Gg0011200	Peu2-14690	Pde02A001460
Palv2-05984	-	-	-	-	Peu2-14691	-
Palv2-05985	Ide2-18399	-	Potri.002G015100	PAxG02Gg0011300	-	Pde02A001470
Palv2-05986	Ide2-18400	EVM0031330	Potri.002G015200	PAxG02Gg0011400	Peu2-14692	Pde02A001480
Palv2-05987	Ide2-18402	EVM0032793	Potri.002G015400	PAxG02Gg0011500	Peu2-14693	Pde02A001500
Palv2-05988	-	EVM0014061	Potri.002G015500	PAxG02Gg0011600	Peu2-14694	Pde02A001510
Palv2-05989	-	-	Potri.002G015700	PAxG02Gg0011900	-	Pde02A001530
Palv2-05990	Ide2-18406	-	Potri.002G015800	PAxG02Gg0012000	Peu2-14695	Pde02A001550
Palv2-05991	Ide2-18407	EVM0039559	Potri.002G015900	-	Peu2-14696	Pde02A001560
Palv2-05992	Ide2-18408	EVM0033163	Potri.002G016000	PAxG02Gg0012200	Peu2-14697	Pde02A001570
Palv2-05993	Ide2-18409	EVM0030665	Potri.002G016100	-	Peu2-14698	Pde02A001580
Palv2-05994	Ide2-18410	EVM0032564	Potri.002G016200	PAxG02Gg0012300	Peu2-14699	Pde02A001590
Palv2-05995	Ide2-18412	EVM0038805	Potri.002G016300	PAxG02Gg0012400	Peu2-14700	Pde02A001600
Palv2-05996	Ide2-18413	-	-	-	-	-
Palv2-05997	Ide2-18414	EVM0004148	Potri.002G016500	PAxG02Gg0012600	Peu2-14701	Pde02A001610
Palv2-05998	Ide2-18415	EVM0017110	Potri.002G016600	PAxG02Gg0012700	Peu2-14702	Pde02A001620
Palv2-05999	Ide2-18417	EVM0002050	Potri.002G016800	PAxG02Gg0012900	Peu2-14704	Pde02A001650
Palv2-06000	Ide2-18418	EVM0036165	Potri.002G016900	PAxG02Gg0013000	Peu2-14705	Pde02A001660
Palv2-06001	Ide2-18419	-	Potri.002G017000	PAxG02Gg0013200	Peu2-14706	-
Palv2-06002	-	-	-	-	-	-
Palv2-06003	Ide2-18420	-	Potri.002G017200	PAxG02Gg0013300	Peu2-14707	Pde02A001670
Palv2-06004	Ide2-18422	-	Potri.002G017500	PAxG02Gg0013800	Peu2-14709	Pde02A001700
Palv2-06005	Ide2-18423	EVM0016062	Potri.002G017600	PAxG02Gg0013900	Peu2-14710	Pde02A001710
Palv2-06006	-	EVM0032195	Potri.002G017700	PAxG02Gg0014000	Peu2-14711	Pde02A001720
Palv2-06007	Ide2-18424	EVM0040863	Potri.002G017800	PAxG02Gg0014100	Peu2-14712	Pde02A001730
Palv2-06008	Ide2-18426	EVM0040283	Potri.002G018000	PAxG02Gg0014300	Peu2-14714	Pde02A001750
Palv2-06009	Ide2-18427	EVM0006923	Potri.002G018100	PAxG02Gg0014400	Peu2-14715	Pde02A001760
Palv2-06010	Ide2-18428	EVM0014338	Potri.002G018200	PAxG02Gg0014500	Peu2-14716	Pde02A001770
Palv2-06011	Ide2-18429	EVM0015665	Potri.002G018300	PAxG02Gg0014700	Peu2-14717	Pde02A001780
Palv2-06012	Ide2-18430	EVM0040605	Potri.002G018400	PAxG02Gg0014900	Peu2-14718	Pde02A001790
Palv2-06013	-	EVM0024895	-	-	Peu2-14719	Pde02A001800
Palv2-06014	-	-	-	-	-	-
Palv2-06015	Ide2-10985	-	-	-	-	-
Palv2-06016	Ide2-18432	EVM0018950	Potri.002G018600	PAxG02Gg0015000	Peu2-14720	Pde02A001810
Palv2-06017	Ide2-18433	EVM0041515	Potri.002G018700	PAxG02Gg0015100	Peu2-14721	-
Palv2-06018	-	EVM0022114	-	-	-	-
Palv2-06019	-	-	-	-	-	-
Palv2-06020	Ide2-18435	EVM0005648	Potri.002G018800	PAxG02Gg0015300	Peu2-14722	Pde02A001820
Palv2-06021	Ide2-18436	EVM0035811	Potri.002G018900	PAxG02Gg0015400	Peu2-14723	Pde02A001830
Palv2-06022	-	-	-	-	-	-
Palv2-06023	Ide2-18437	EVM0010186	Potri.002G019000	PAxG02Gg0015600	Peu2-14725	Pde02A001840
Palv2-06024	Ide2-18439	EVM0032920	Potri.002G019200	PAxG02Gg0015800	Peu2-14726	Pde02A001870
Palv2-06025	-	-	-	-	-	-
Palv2-06026	Ide2-18441	EVM0015622	Potri.002G019300	PAxG02Gg0015900	Peu2-14727	Pde02A001880
Palv2-06027	-	EVM0018626	Potri.002G019400	PAxG02Gg0016100	Peu2-14728	Pde02A001890
Palv2-06028	Ide2-18442	EVM0022773	Potri.002G019500	PAxG02Gg0016200	Peu2-14729	Pde02A001900
Palv2-06029	Ide2-18443	EVM0021387	Potri.002G019600	PAxG02Gg0016300	Peu2-14731	Pde02A001910
Palv2-06030	Ide2-18444	-	Potri.002G019700	PAxG02Gg0016400	Peu2-14732	Pde02A001920
Palv2-06031	Ide2-18445	EVM0008727	Potri.002G019800	PAxG02Gg0016500	Peu2-14733	Pde02A001930
Palv2-06032	Ide2-18446	EVM0003354	Potri.002G019900	PAxG02Gg0016600	Peu2-14734	Pde02A001940
Palv2-06033	Ide2-18447	EVM0017088	Potri.002G020000	PAxG02Gg0016700	-	Pde02A001950
Palv2-06034	Ide2-18448	EVM0005235	-	-	Peu2-14736	Pde02A001960
Palv2-06035	-	-	Potri.002G020249	PAxG02Gg0016900	-	-
Palv2-06036	-	-	-	-	Peu2-14737	Pde02A001980
Palv2-06037	-	-	Potri.002G020323	-	-	-
Palv2-06038	-	EVM0041600	Potri.002G020700	-	Peu2-14740	Pde02A002020
Palv2-06039	Ide2-18452	EVM0038013	Potri.002G020800	-	Peu2-14741	Pde02A002030
Palv2-06040	Ide2-18453	EVM0007530	Potri.002G020900	-	Peu2-14743	Pde02A002040
Palv2-06041	Ide2-18454	EVM0031673	Potri.002G021000	PAxG02Gg0017400	Peu2-14744	Pde02A002050
Palv2-06042	-	-	-	-	-	-
Palv2-06043	-	EVM0029965	Potri.002G021300	PAxG02Gg0017900	Peu2-14745	Pde02A002080
Palv2-06044	Ide2-18457	EVM0014289	Potri.002G021400	-	Peu2-14746	Pde02A002090
Palv2-06045	-	EVM0009224	Potri.002G021500	PAxG02Gg0018000	Peu2-14747	Pde02A002100
Palv2-06046	Ide2-18459	-	Potri.002G021600	PAxG02Gg0018100	Peu2-14748	Pde02A002110
Palv2-06047	Ide2-18460	EVM0001162	Potri.002G021700	PAxG02Gg0018200	Peu2-14749	Pde02A002120
Palv2-06048	Ide2-18461	EVM0037933	Potri.002G021800	PAxG02Gg0018300	Peu2-14750	Pde02A002130
Palv2-06049	Ide2-18462	-	-	-	Peu2-14751	-
Palv2-06050	Ide2-18463	EVM0020253	Potri.002G021900	PAxG02Gg0018400	Peu2-14752	Pde02A002140
Palv2-06051	-	-	-	-	-	Pde02A002150
Palv2-06052	Ide2-18465	EVM0000860	Potri.002G022100	-	-	-
Palv2-06053	Ide2-18466	EVM0002670	Potri.002G022200	PAxG02Gg0018700	Peu2-14755	Pde02A002160
Palv2-06054	-	-	-	-	-	-
Palv2-06055	-	-	-	-	-	-
Palv2-06056	-	-	Potri.002G022600	-	Peu2-14759	-
Palv2-06057	-	-	Potri.002G022700	PAxG02Gg0019100	Peu2-14760	Pde02A002210
Palv2-06058	Ide2-18469	EVM0005979	Potri.002G022800	PAxG02Gg0019200	Peu2-14761	Pde02A002220
Palv2-06059	Ide2-18470	EVM0003479	Potri.002G022900	PAxG02Gg0019300	Peu2-14762	Pde02A002230
Palv2-06060	Ide2-18471	EVM0010428	Potri.002G023000	PAxG02Gg0019400	Peu2-14763	Pde02A002240
Palv2-06061	Ide2-18473	EVM0009392	Potri.002G023200	PAxG02Gg0019600	Peu2-14764	Pde02A002260
Palv2-06062	Ide2-18474	EVM0003990	Potri.002G023300	PAxG02Gg0019700	Peu2-14765	Pde02A002270
Palv2-06063	Ide2-18475	EVM0023906	Potri.002G023400	PAxG02Gg0019800	Peu2-14766	Pde02A002280
Palv2-06064	Ide2-18476	EVM0023448	Potri.002G023500	PAxG02Gg0019900	Peu2-14767	Pde02A002290
Palv2-06065	Ide2-18477	EVM0030775	Potri.002G023600	-	Peu2-14768	Pde02A002300
Palv2-06066	Ide2-18478	EVM0003690	Potri.002G023700	PAxG02Gg0020000	Peu2-14769	Pde02A002310
Palv2-06067	Ide2-18479	EVM0004850	Potri.002G023800	PAxG02Gg0020200	Peu2-14771	Pde02A002320
Palv2-06068	Ide2-18480	EVM0031813	Potri.002G023900	PAxG02Gg0020300	Peu2-14772	Pde02A002330
Palv2-06069	Ide2-18481	EVM0038390	Potri.002G024000	PAxG02Gg0020500	Peu2-14773	Pde02A002350
Palv2-06070	Ide2-18482	EVM0023335	Potri.002G024100	PAxG02Gg0020600	Peu2-14774	Pde02A002360
Palv2-06071	Ide2-18483	EVM0001874	Potri.002G024200	PAxG02Gg0020700	Peu2-14775	Pde02A002370
Palv2-06072	-	-	-	PAxG02Gg0021100	Peu2-14776	-
Palv2-06073	Ide2-18484	-	Potri.002G024300	PAxG02Gg0021200	Peu2-14777	-
Palv2-06074	Ide2-18485	EVM0013418	Potri.002G024400	PAxG02Gg0021400	Peu2-14778	Pde02A002410
Palv2-06075	-	-	-	-	-	-
Palv2-06076	Ide2-18486	EVM0023775	Potri.002G024500	PAxG02Gg0021700	Peu2-14779	Pde02A002420
Palv2-06077	Ide2-18487	-	Potri.002G024601	PAxG02Gg0021800	-	Pde02A002430
Palv2-06078	Ide2-18488	EVM0011900	Potri.002G024700	PAxG02Gg0021900	Peu2-14781	Pde02A002440
Palv2-06079	-	EVM0013977	Potri.002G024800	PAxG02Gg0022000	-	Pde02A002450
Palv2-06080	Ide2-18490	EVM0039745	Potri.002G025100	PAxG02Gg0022200	Peu2-14783	Pde02A002480
Palv2-06081	Ide2-18491	EVM0027262	Potri.002G025200	PAxG02Gg0022300	Peu2-14784	Pde02A002490
Palv2-06082	Ide2-18492	-	Potri.002G025350	PAxG02Gg0022400	Peu2-14786	Pde02A002520
Palv2-06083	-	EVM0039458	Potri.002G025425	PAxG02Gg0022600	Peu2-14787	Pde02A002530
Palv2-06084	Ide2-18493	EVM0017187	Potri.002G025500	PAxG02Gg0022700	Peu2-14788	Pde02A002590
Palv2-06085	Ide2-18494	EVM0035331	Potri.002G025600	PAxG02Gg0022800	Peu2-14789	Pde02A002600
Palv2-06086	Ide2-18495	EVM0028746	Potri.002G026700	PAxG02Gg0023200	Peu2-14790	Pde02A002610
Palv2-06087	Ide2-18496	EVM0028719	Potri.002G026800	PAxG02Gg0023300	Peu2-14791	-
Palv2-06088	Ide2-18497	EVM0032039	Potri.002G027000	PAxG02Gg0023500	Peu2-14793	Pde02A002630
Palv2-06089	-	-	-	-	Peu2-14794	-
Palv2-06090	Ide2-18499	EVM0041944	Potri.002G027100	-	Peu2-14795	Pde02A002640
Palv2-06091	Ide2-18500	EVM0033054	Potri.002G027200	PAxG02Gg0023600	-	Pde02A002650
Palv2-06092	-	-	-	-	-	Pde02A002660
Palv2-06093	Ide2-18501	EVM0022526	Potri.002G027300	PAxG02Gg0023700	Peu2-14796	Pde02A002670
Palv2-06094	Ide2-18502	EVM0004522	Potri.002G027400	PAxG02Gg0023800	Peu2-14797	Pde02A002690
Palv2-06095	Ide2-18503	-	Potri.002G027501	PAxG02Gg0024200	-	Pde02A002700
Palv2-06096	Ide2-18504	EVM0006703	Potri.002G027600	PAxG02Gg0024300	Peu2-14798	Pde02A002710
Palv2-06097	-	EVM0006082	Potri.002G027800	PAxG02Gg0024400	Peu2-14799	Pde02A002720
Palv2-06098	Ide2-18505	EVM0026169	Potri.002G027900	PAxG02Gg0024500	Peu2-14800	Pde02A002730
Palv2-06099	Ide2-18506	EVM0002464	Potri.002G028100	PAxG02Gg0024700	Peu2-14802	-
Palv2-06100	Ide2-18507	EVM0001311	Potri.002G028200	PAxG02Gg0024800	Peu2-14804	Pde02A002750
Palv2-06101	Ide2-18508	EVM0016574	Potri.002G028300	PAxG02Gg0024900	Peu2-14806	Pde02A002770
Palv2-06102	-	-	Potri.002G028400	-	Peu2-14807	-
Palv2-06103	Ide2-18509	EVM0031988	Potri.002G028500	PAxG02Gg0025100	Peu2-14808	Pde02A002790
Palv2-06104	Ide2-18510	EVM0035515	Potri.002G028600	PAxG02Gg0025200	Peu2-14809	Pde02A002800
Palv2-06105	Ide2-18511	EVM0012002	Potri.002G028700	-	Peu2-14810	Pde02A002810
Palv2-06106	-	-	Potri.002G028800	-	Peu2-14811	-
Palv2-06107	Ide2-18512	EVM0007923	Potri.002G028900	PAxG02Gg0025300	Peu2-14812	Pde02A002830
Palv2-06108	Ide2-18513	EVM0028533	Potri.002G029100	PAxG02Gg0025500	Peu2-14814	Pde02A002840
Palv2-06109	Ide2-18514	-	Potri.002G029200	PAxG02Gg0025600	Peu2-14815	Pde02A002850
Palv2-06110	Ide2-18515	EVM0017776	Potri.002G029300	PAxG02Gg0025700	Peu2-14816	Pde02A002860
Palv2-06111	Ide2-18516	EVM0010806	Potri.002G029400	-	Peu2-14817	Pde02A002870
Palv2-06112	-	-	Potri.002G029600	PAxG02Gg0025900	-	Pde02A002880
Palv2-06113	Ide2-18517	EVM0034840	Potri.002G029700	-	Peu2-14819	Pde02A002890
Palv2-06114	-	-	-	-	-	Pde02A002900
Palv2-06115	Ide2-18519	EVM0014994	Potri.002G029900	PAxG05Gg0212400	Peu2-14820	Pde02A002910
Palv2-06116	Ide2-18520	EVM0032194	Potri.002G030000	PAxG02Gg0026100	Peu2-14821	Pde02A002920
Palv2-06117	Ide2-18521	EVM0040794	-	PAxG02Gg0026200	-	-
Palv2-06118	-	EVM0009199	Potri.002G030200	PAxG02Gg0026300	Peu2-14822	-
Palv2-06119	-	-	-	-	-	-
Palv2-06120	Ide2-18522	EVM0021967	Potri.002G030400	-	Peu2-14824	-
Palv2-06121	-	-	-	-	-	-
Palv2-06122	Ide2-18523	EVM0007270	Potri.002G030500	PAxG02Gg0026400	Peu2-14825	Pde02A002950
Palv2-06123	-	-	-	-	-	Pde02A002960
Palv2-06124	-	-	-	-	-	-
Palv2-06125	Ide2-18524	-	Potri.002G030800	-	Peu2-14826	Pde02A002970
Palv2-06126	Ide2-18525	EVM0024049	Potri.002G030900	PAxG02Gg0026600	Peu2-14827	Pde02A002980
Palv2-06127	Ide2-18526	EVM0000240	Potri.002G031000	PAxG02Gg0026700	Peu2-14828	Pde02A002990
Palv2-06128	Ide2-18527	EVM0041647	Potri.002G031100	PAxG02Gg0026900	Peu2-14829	Pde02A003000
Palv2-06129	Ide2-18528	EVM0038560	Potri.002G031200	-	Peu2-14830	Pde05A022490
Palv2-06130	Ide2-18529	EVM0031635	Potri.002G031300	PAxG02Gg0027000	Peu2-14831	Pde02A003010
Palv2-06131	Ide2-18530	EVM0023663	Potri.002G031400	-	Peu2-14832	Pde02A003020
Palv2-06132	Ide2-18531	EVM0025377	Potri.002G031500	PAxG02Gg0027100	Peu2-14833	Pde02A003050
Palv2-06133	Ide2-18532	EVM0033771	Potri.002G031600	PAxG02Gg0027400	Peu2-14834	Pde02A003060
Palv2-06134	-	-	Potri.002G031700	-	Peu2-14835	-
Palv2-06135	Ide2-18533	EVM0033732	Potri.002G031800	PAxG02Gg0027500	Peu2-14836	Pde02A003070
Palv2-06136	-	-	-	-	-	-
Palv2-06137	Ide2-18534	EVM0026398	Potri.002G031900	PAxG02Gg0027600	Peu2-14837	Pde02A003080
Palv2-06138	-	-	-	PAxG02Gg0027700	-	Pde02A003090
Palv2-06139	Ide2-18536	EVM0030344	Potri.002G032100	PAxG02Gg0027800	Peu2-14838	Pde02A003100
Palv2-06140	Ide2-18537	EVM0014284	Potri.002G032200	PAxG02Gg0027900	Peu2-14839	Pde02A003110
Palv2-06141	Ide2-18538	EVM0028252	Potri.002G032300	PAxG02Gg0028000	Peu2-14840	Pde02A003120
Palv2-06142	Ide2-18539	EVM0015873	Potri.002G032400	PAxG02Gg0028100	Peu2-14841	Pde02A003140
Palv2-06143	Ide2-18540	EVM0008328	Potri.002G032500	-	Peu2-14842	-
Palv2-06144	Ide2-18541	EVM0002682	Potri.002G032600	PAxG02Gg0028300	Peu2-14843	Pde02A003150
Palv2-06145	Ide2-18542	-	Potri.002G032700	PAxG02Gg0028400	Peu2-14844	Pde02A003160
Palv2-06146	Ide2-18543	-	Potri.002G032800	-	Peu2-14845	Pde02A003170
Palv2-06147	-	EVM0001666	Potri.002G032900	-	-	Pde02A003190
Palv2-06148	-	-	-	-	Peu2-14846	-
Palv2-06149	Ide2-18544	EVM0041531	Potri.002G033000	PAxG02Gg0028500	Peu2-14848	Pde02A003210
Palv2-06150	Ide2-18545	EVM0041529	Potri.002G033100	PAxG02Gg0028700	-	Pde02A003220
Palv2-06151	Ide2-18547	EVM0020982	Potri.002G033300	PAxG02Gg0028800	Peu2-14850	Pde02A003230
Palv2-06152	Ide2-18548	EVM0017091	Potri.002G033400	PAxG02Gg0028900	Peu2-14851	Pde02A003240
Palv2-06153	-	-	-	-	-	-
Palv2-06154	Ide2-18550	EVM0030401	Potri.002G033600	PAxG02Gg0029000	Peu2-14852	-
Palv2-06155	Ide2-18552	EVM0041083	Potri.002G033800	PAxG02Gg0029100	Peu2-14853	Pde02A003270
Palv2-06156	Ide2-18553	EVM0001411	Potri.002G033900	PAxG02Gg0029200	Peu2-14854	Pde02A003280
Palv2-06157	Ide2-18554	EVM0027253	Potri.002G034000	PAxG02Gg0029300	Peu2-14855	Pde02A003290
Palv2-06158	Ide2-18555	EVM0006870	Potri.002G034100	PAxG02Gg0029400	Peu2-14856	Pde02A003300
Palv2-06159	Ide2-18556	EVM0000665	Potri.002G034200	PAxG02Gg0029500	Peu2-14857	Pde02A003310
Palv2-06160	Ide2-18557	EVM0018979	Potri.002G034300	PAxG05Gg0208400	Peu2-14858	Pde02A003330
Palv2-06161	Ide2-18558	EVM0019952	Potri.002G034400	PAxG02Gg0029600	Peu2-14859	Pde02A003340
Palv2-06162	Ide2-18559	EVM0033926	Potri.002G034500	PAxG02Gg0029700	Peu2-14860	Pde02A003350
Palv2-06163	Ide2-18560	EVM0016707	Potri.002G034600	PAxG02Gg0029800	Peu2-14861	Pde02A003360
Palv2-06164	Ide2-18561	EVM0009498	Potri.002G034700	PAxG02Gg0029900	Peu2-14862	Pde02A003370
Palv2-06165	Ide2-18562	-	Potri.002G034800	PAxG02Gg0030000	Peu2-14863	Pde02A003380
Palv2-06166	-	-	-	PAxG02Gg0030100	-	Pde02A003390
Palv2-06167	-	EVM0003190	Potri.002G034900	-	Peu2-14864	-
Palv2-06168	Ide2-18563	EVM0012034	Potri.002G035000	PAxG02Gg0030400	Peu2-14865	Pde02A003400
Palv2-06169	Ide2-18564	EVM0022951	Potri.002G035200	PAxG02Gg0030600	Peu2-14866	Pde02A003420
Palv2-06170	Ide2-18565	EVM0039664	Potri.002G035300	PAxG02Gg0030700	Peu2-14867	Pde02A003440
Palv2-06171	Ide2-18567	EVM0000405	Potri.002G035500	PAxG02Gg0030800	-	Pde02A003460
Palv2-06172	Ide2-18568	EVM0023857	Potri.002G035700	PAxG02Gg0031000	Peu2-14869	Pde02A003480
Palv2-06173	-	-	-	-	-	-
Palv2-06174	Ide2-18569	EVM0008399	Potri.002G035800	PAxG02Gg0031200	Peu2-14870	Pde02A003490
Palv2-06175	Ide2-18570	EVM0000125	Potri.002G035900	PAxG02Gg0031300	Peu2-14871	Pde02A003500
Palv2-06176	Ide2-18571	EVM0020184	Potri.002G036000	PAxG02Gg0031400	Peu2-14872	Pde02A003510
Palv2-06177	Ide2-18572	EVM0012630	Potri.002G036100	-	Peu2-14873	Pde02A003520
Palv2-06178	Ide2-18573	EVM0006444	Potri.002G036200	PAxG02Gg0031500	Peu2-14874	Pde02A003530
Palv2-06179	Ide2-18574	EVM0010974	Potri.002G036300	PAxG02Gg0031600	Peu2-14875	Pde02A003540
Palv2-06180	Ide2-18575	-	Potri.002G036400	PAxG02Gg0031700	Peu2-14876	Pde02A003550
Palv2-06181	Ide2-18576	EVM0005863	Potri.002G036600	PAxG02Gg0031900	Peu2-14877	Pde02A003570
Palv2-06182	Ide2-18577	EVM0031395	Potri.002G036666	PAxG02Gg0032000	Peu2-14878	Pde02A003580
Palv2-06183	Ide2-18578	EVM0021975	Potri.002G036800	PAxG02Gg0032100	-	Pde02A003590
Palv2-06184	Ide2-18579	EVM0041982	Potri.002G037100	PAxG02Gg0032300	Peu2-14879	Pde02A003610
Palv2-06185	Ide2-18580	EVM0034829	Potri.002G037300	PAxG02Gg0032400	Peu2-14880	Pde02A003620
Palv2-06186	Ide2-18581	EVM0006971	Potri.002G037400	PAxG02Gg0032500	Peu2-14881	Pde02A003630
Palv2-06187	Ide2-18582	EVM0035936	Potri.002G037500	PAxG02Gg0032600	Peu2-14882	-
Palv2-06188	-	-	-	-	Peu2-14883	-
Palv2-06189	Ide2-18583	EVM0023922	Potri.002G037700	PAxG02Gg0032700	Peu2-14884	Pde02A003640
Palv2-06190	Ide2-18584	EVM0012784	Potri.002G037800	PAxG02Gg0032800	Peu2-14885	Pde02A003660
Palv2-06191	Ide2-18585	EVM0014753	Potri.002G037900	PAxG02Gg0032900	Peu2-14886	Pde02A003670
Palv2-06192	Ide2-18586	EVM0021775	Potri.002G038000	-	Peu2-14887	Pde02A003680
Palv2-06193	Ide2-18587	-	-	-	Peu2-14888	-
Palv2-06194	Ide2-18588	-	Potri.002G038200	PAxG02Gg0033100	Peu2-14891	Pde02A003700
Palv2-06195	Ide2-18589	EVM0023060	Potri.002G038300	PAxG02Gg0033200	Peu2-14892	Pde02A003710
Palv2-06196	-	-	-	-	-	-
Palv2-06197	Ide2-18590	EVM0021559	Potri.002G038400	PAxG02Gg0033400	Peu2-14893	Pde02A003720
Palv2-06198	Ide2-18591	EVM0014556	Potri.002G038500	PAxG02Gg0033500	Peu2-14894	Pde02A003730
Palv2-06199	Ide2-18592	-	-	PAxG02Gg0033600	Peu2-14895	Pde02A003740
Palv2-06200	Ide2-18593	EVM0018253	Potri.002G038700	PAxG02Gg0033700	Peu2-14896	Pde02A003750
Palv2-06201	Ide2-18594	EVM0023226	Potri.002G038800	PAxG02Gg0033800	Peu2-14897	Pde02A003760
Palv2-06202	Ide2-18596	EVM0000897	Potri.002G039000	PAxG02Gg0034000	Peu2-14899	Pde02A003780
Palv2-06203	Ide2-18597	EVM0038090	Potri.002G039100	PAxG02Gg0034100	Peu2-14900	Pde02A003790
Palv2-06204	Ide2-18598	EVM0014843	Potri.002G039200	-	Peu2-14901	Pde02A003810
Palv2-06205	Ide2-18599	EVM0028772	Potri.002G039300	PAxG02Gg0034300	Peu2-14902	Pde02A003820
Palv2-06206	-	-	Potri.002G039500	-	-	-
Palv2-06207	Ide2-18601	EVM0021876	Potri.002G039600	-	Peu2-14904	Pde02A003840
Palv2-06208	Ide2-18602	EVM0008933	Potri.002G039700	PAxG02Gg0034500	Peu2-14905	Pde02A003850
Palv2-06209	-	EVM0021244	Potri.002G039801	PAxG02Gg0034600	Peu2-14906	Pde02A003860
Palv2-06210	Ide2-18603	EVM0030922	Potri.002G039900	PAxG02Gg0034700	Peu2-14907	Pde02A003880
Palv2-06211	Ide2-18604	EVM0029438	Potri.002G040100	PAxG02Gg0034800	Peu2-14908	Pde02A003890
Palv2-06212	Ide2-18605	EVM0034340	Potri.002G040200	PAxG02Gg0034900	Peu2-14909	Pde02A003900
Palv2-06213	Ide2-18607	-	-	-	Peu2-14911	Pde02A003920
Palv2-06214	Ide2-18608	EVM0007783	Potri.002G040600	PAxG02Gg0035000	Peu2-14912	Pde02A003930
Palv2-06215	Ide2-18609	EVM0019368	Potri.002G040700	PAxG02Gg0035100	Peu2-14913	-
Palv2-06216	-	-	Potri.002G041000	PAxG02Gg0035300	-	Pde02A003950
Palv2-06217	-	-	-	-	-	-
Palv2-06218	Ide2-18612	EVM0001221	Potri.002G041100	PAxG02Gg0035400	Peu2-14915	Pde02A003960
Palv2-06219	Ide2-18613	EVM0030784	Potri.002G041200	PAxG02Gg0035600	Peu2-14916	Pde02A003970
Palv2-06220	-	-	-	-	-	-
Palv2-06221	Ide2-10780	EVM0030113	Potri.002G041300	PAxG02Gg0035700	Peu2-14917	Pde02A003980
Palv2-06222	-	EVM0040919	Potri.002G041400	PAxG02Gg0035800	Peu2-14918	Pde02A003990
Palv2-06223	Ide2-18614	-	Potri.002G041500	PAxG02Gg0035900	Peu2-14919	Pde02A004000
Palv2-06224	Ide2-18616	EVM0007660	Potri.002G041700	PAxG02Gg0036200	-	Pde02A004020
Palv2-06225	Ide2-18617	EVM0005151	Potri.002G041800	PAxG02Gg0036300	Peu2-14921	Pde02A004030
Palv2-06226	Ide2-18618	EVM0036201	Potri.002G041900	PAxG02Gg0036400	Peu2-14922	Pde02A004040
Palv2-06227	Ide2-18620	EVM0022791	Potri.002G042000	-	Peu2-14923	Pde02A004060
Palv2-06228	-	EVM0036059	Potri.002G042100	PAxG02Gg0036600	Peu2-14925	Pde02A004080
Palv2-06229	Ide2-18621	-	Potri.002G042300	-	Peu2-14926	Pde02A004090
Palv2-06230	Ide2-18623	EVM0023804	Potri.002G042500	PAxG02Gg0036800	Peu2-14927	Pde02A004100
Palv2-06231	Ide2-18624	-	Potri.002G042600	PAxG02Gg0036900	Peu2-14928	Pde02A004110
Palv2-06232	Ide2-18625	-	Potri.002G042700	PAxG02Gg0037000	Peu2-14929	Pde02A004120
Palv2-06233	Ide2-18626	EVM0017516	-	-	Peu2-14930	-
Palv2-06234	-	-	-	-	-	-
Palv2-06235	-	-	-	-	-	-
Palv2-06236	Ide2-18629	EVM0010735	Potri.002G043000	PAxG02Gg0037400	Peu2-14933	Pde02A004140
Palv2-06237	Ide2-18631	EVM0000474	Potri.002G043100	PAxG02Gg0037500	Peu2-14935	Pde02A004150
Palv2-06238	Ide2-18632	EVM0008309	Potri.002G043200	PAxG02Gg0037600	Peu2-14936	Pde02A004160
Palv2-06239	Ide2-18633	-	Potri.002G043300	PAxG02Gg0037700	Peu2-14937	-
Palv2-06240	Ide2-18634	EVM0006367	Potri.002G043500	PAxG02Gg0037800	Peu2-14938	Pde02A004180
Palv2-06241	Ide2-18635	EVM0018818	Potri.002G043600	-	Peu2-14939	Pde02A004200
Palv2-06242	-	EVM0013019	Potri.002G043800	PAxG02Gg0038100	Peu2-14940	-
Palv2-06243	Ide2-18637	EVM0004562	Potri.002G044000	PAxG02Gg0038200	Peu2-14941	Pde02A004240
Palv2-06244	Ide2-18638	EVM0000731	Potri.002G044100	PAxG02Gg0038300	Peu2-14942	Pde02A004250
Palv2-06245	-	-	-	-	-	-
Palv2-06246	Ide2-18640	EVM0033159	Potri.002G044300	PAxG02Gg0038400	Peu2-14944	Pde02A004290
Palv2-06247	-	-	-	PAxG02Gg0038500	Peu2-14945	Pde02A004300
